ID,Gene Name,Species,KEGG_PATHWAY
ENSMUST00000178799,"calcium channel, voltage-dependent, beta 4 subunit(Cacnb4)",Mus musculus,"mmu04010:MAPK signaling pathway,mmu04260:Cardiac muscle contraction,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04921:Oxytocin signaling pathway,mmu05410:Hypertrophic cardiomyopathy,mmu05412:Arrhythmogenic right ventricular cardiomyopathy,mmu05414:Dilated cardiomyopathy,"
ENSMUST00000021065,"calcium channel, voltage-dependent, gamma subunit 1(Cacng1)",Mus musculus,"mmu04010:MAPK signaling pathway,mmu04260:Cardiac muscle contraction,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04921:Oxytocin signaling pathway,mmu05410:Hypertrophic cardiomyopathy,mmu05412:Arrhythmogenic right ventricular cardiomyopathy,mmu05414:Dilated cardiomyopathy,"
ENSMUST00000084615,"calcium channel, voltage-dependent, gamma subunit 3(Cacng3)",Mus musculus,"mmu04010:MAPK signaling pathway,mmu04260:Cardiac muscle contraction,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04921:Oxytocin signaling pathway,mmu05410:Hypertrophic cardiomyopathy,mmu05412:Arrhythmogenic right ventricular cardiomyopathy,mmu05414:Dilated cardiomyopathy,"
ENSMUST00000211044,calcyon neuron-specific vesicular protein(Caly),Mus musculus,"mmu04728:Dopaminergic synapse,"
ENSMUST00000213643,calmodulin-like 4(Calml4),Mus musculus,"mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04020:Calcium signaling pathway,mmu04022:cGMP-PKG signaling pathway,mmu04024:cAMP signaling pathway,mmu04070:Phosphatidylinositol signaling system,mmu04114:Oocyte meiosis,mmu04218:Cellular senescence,mmu04261:Adrenergic signaling in cardiomyocytes,mmu04270:Vascular smooth muscle contraction,mmu04371:Apelin signaling pathway,mmu04625:C-type lectin receptor signaling pathway,mmu04713:Circadian entrainment,mmu04720:Long-term potentiation,mmu04722:Neurotrophin signaling pathway,mmu04728:Dopaminergic synapse,mmu04740:Olfactory transduction,mmu04744:Phototransduction,mmu04750:Inflammatory mediator regulation of TRP channels,mmu04910:Insulin signaling pathway,mmu04912:GnRH signaling pathway,mmu04915:Estrogen signaling pathway,mmu04916:Melanogenesis,mmu04921:Oxytocin signaling pathway,mmu04922:Glucagon signaling pathway,mmu04924:Renin secretion,mmu04925:Aldosterone synthesis and secretion,mmu04970:Salivary secretion,mmu04971:Gastric acid secretion,mmu05010:Alzheimer disease,mmu05012:Parkinson disease,mmu05022:Pathways of neurodegeneration - multiple diseases,mmu05031:Amphetamine addiction,mmu05034:Alcoholism,mmu05133:Pertussis,mmu05152:Tuberculosis,mmu05163:Human cytomegalovirus infection,mmu05167:Kaposi sarcoma-associated herpesvirus infection,mmu05170:Human immunodeficiency virus 1 infection,mmu05200:Pathways in cancer,mmu05214:Glioma,mmu05417:Lipid and atherosclerosis,mmu05418:Fluid shear stress and atherosclerosis,"
ENSMUST00000095188,calmodulin-lysine N-methyltransferase(Camkmt),Mus musculus,"mmu00310:Lysine degradation,mmu01100:Metabolic pathways,"
ENSMUST00000169266,capicua transcriptional repressor(Cic),Mus musculus,"mmu05017:Spinocerebellar ataxia,"
ENSMUST00000043050,carbohydrate sulfotransferase 12(Chst12),Mus musculus,"mmu00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,"
ENSMUST00000135158,carbohydrate sulfotransferase 3(Chst3),Mus musculus,"mmu00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,"
"ENSMUST00000078686, ENSMUST00000154629",carbohydrate sulfotransferase 8(Chst8),Mus musculus,"mmu00513:Various types of N-glycan biosynthesis,mmu01100:Metabolic pathways,"
ENSMUST00000057653,"carbonic anhydrase 5a, mitochondrial(Car5a)",Mus musculus,"mmu00910:Nitrogen metabolism,mmu01100:Metabolic pathways,"
ENSMUST00000031806,"carboxypeptidase A1, pancreatic(Cpa1)",Mus musculus,"mmu04972:Pancreatic secretion,mmu04974:Protein digestion and absorption,"
ENSMUST00000096066,"carboxypeptidase A2, pancreatic(Cpa2)",Mus musculus,"mmu04972:Pancreatic secretion,mmu04974:Protein digestion and absorption,"
ENSMUST00000109313,"carnitine palmitoyltransferase 1b, muscle(Cpt1b)",Mus musculus,"mmu00071:Fatty acid degradation,mmu01212:Fatty acid metabolism,mmu03320:PPAR signaling pathway,mmu04152:AMPK signaling pathway,mmu04714:Thermogenesis,mmu04920:Adipocytokine signaling pathway,mmu04922:Glucagon signaling pathway,mmu04931:Insulin resistance,mmu04936:Alcoholic liver disease,mmu05415:Diabetic cardiomyopathy,"
ENSMUST00000237880,"casein kinase 1, gamma 3(Csnk1g3)",Mus musculus,"mmu04340:Hedgehog signaling pathway,"
"ENSMUST00000164826, ENSMUST00000170584","caspase recruitment domain family, member 10(Card10)",Mus musculus,"mmu04064:NF-kappa B signaling pathway,"
ENSMUST00000029178,"catenin, beta like 1(Ctnnbl1)",Mus musculus,"mmu03040:Spliceosome,"
ENSMUST00000151120,cathepsin D(Ctsd),Mus musculus,"mmu04071:Sphingolipid signaling pathway,mmu04140:Autophagy - animal,mmu04142:Lysosome,mmu04210:Apoptosis,mmu04915:Estrogen signaling pathway,mmu05152:Tuberculosis,mmu05415:Diabetic cardiomyopathy,"
ENSMUST00000115462,caveolin 2(Cav2),Mus musculus,"mmu04144:Endocytosis,mmu04510:Focal adhesion,mmu05020:Prion disease,mmu05100:Bacterial invasion of epithelial cells,mmu05205:Proteoglycans in cancer,mmu05418:Fluid shear stress and atherosclerosis,"
ENSMUST00000119129,cell adhesion molecule-related/down-regulated by oncogenes(Cdon),Mus musculus,"mmu04340:Hedgehog signaling pathway,"
ENSMUST00000024727,cell division cycle 5-like (S. pombe)(Cdc5l),Mus musculus,"mmu03040:Spliceosome,"
ENSMUST00000062759,chemokine (C-C motif) receptor 10(Ccr10),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,mmu04061:Viral protein interaction with cytokine and cytokine receptor,mmu04062:Chemokine signaling pathway,mmu04672:Intestinal immune network for IgA production,"
ENSMUST00000200880,chemokine (C-X-C motif) ligand 17(Cxcl17),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,"
ENSMUST00000052172,chemokine (C-X-C motif) receptor 4(Cxcr4),Mus musculus,"mmu03250:Viral life cycle - HIV-1,mmu04020:Calcium signaling pathway,mmu04060:Cytokine-cytokine receptor interaction,mmu04061:Viral protein interaction with cytokine and cytokine receptor,mmu04062:Chemokine signaling pathway,mmu04144:Endocytosis,mmu04360:Axon guidance,mmu04670:Leukocyte transendothelial migration,mmu04672:Intestinal immune network for IgA production,mmu04810:Regulation of actin cytoskeleton,mmu05163:Human cytomegalovirus infection,mmu05170:Human immunodeficiency virus 1 infection,mmu05200:Pathways in cancer,"
ENSMUST00000211947,chemokine (C-X3-C motif) ligand 1(Cx3cl1),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,mmu04061:Viral protein interaction with cytokine and cytokine receptor,mmu04062:Chemokine signaling pathway,mmu04668:TNF signaling pathway,mmu05163:Human cytomegalovirus infection,"
ENSMUST00000040418,chondroadherin(Chad),Mus musculus,"mmu04151:PI3K-Akt signaling pathway,mmu04510:Focal adhesion,mmu04512:ECM-receptor interaction,mmu05165:Human papillomavirus infection,"
ENSMUST00000102961,ciliary neurotrophic factor receptor(Cntfr),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,mmu04630:JAK-STAT signaling pathway,"
ENSMUST00000122065,cingulin-like 1(Cgnl1),Mus musculus,"mmu04530:Tight junction,"
ENSMUST00000046174,claudin 11(Cldn11),Mus musculus,"mmu04514:Cell adhesion molecules,mmu04530:Tight junction,mmu04670:Leukocyte transendothelial migration,mmu05160:Hepatitis C,"
ENSMUST00000177648,claudin 14(Cldn14),Mus musculus,"mmu04514:Cell adhesion molecules,mmu04530:Tight junction,mmu04670:Leukocyte transendothelial migration,mmu05160:Hepatitis C,"
ENSMUST00000038693,claudin 22(Cldn22),Mus musculus,"mmu04514:Cell adhesion molecules,mmu04530:Tight junction,mmu04670:Leukocyte transendothelial migration,mmu05160:Hepatitis C,"
ENSMUST00000043577,claudin 5(Cldn5),Mus musculus,"mmu04514:Cell adhesion molecules,mmu04530:Tight junction,mmu04670:Leukocyte transendothelial migration,mmu05160:Hepatitis C,"
ENSMUST00000066039,"cleavage stimulation factor, 3' pre-RNA subunit 2, tau(Cstf2t)",Mus musculus,"mmu03015:mRNA surveillance pathway,"
ENSMUST00000059193,coagulation factor II (thrombin) receptor(F2r),Mus musculus,"mmu04015:Rap1 signaling pathway,mmu04020:Calcium signaling pathway,mmu04024:cAMP signaling pathway,mmu04072:Phospholipase D signaling pathway,mmu04080:Neuroactive ligand-receptor interaction,mmu04151:PI3K-Akt signaling pathway,mmu04610:Complement and coagulation cascades,mmu04611:Platelet activation,mmu04810:Regulation of actin cytoskeleton,mmu05200:Pathways in cancer,"
ENSMUST00000147545,coiled-coil domain containing 6(Ccdc6),Mus musculus,"mmu05200:Pathways in cancer,mmu05216:Thyroid cancer,"
ENSMUST00000044311,collagen beta(1-O)galactosyltransferase 2(Colgalt2),Mus musculus,"mmu00310:Lysine degradation,mmu00514:Other types of O-glycan biosynthesis,mmu01100:Metabolic pathways,"
ENSMUST00000031668,"collagen, type I, alpha 2(Col1a2)",Mus musculus,"mmu04151:PI3K-Akt signaling pathway,mmu04510:Focal adhesion,mmu04512:ECM-receptor interaction,mmu04611:Platelet activation,mmu04926:Relaxin signaling pathway,mmu04933:AGE-RAGE signaling pathway in diabetic complications,mmu04974:Protein digestion and absorption,mmu05146:Amoebiasis,mmu05165:Human papillomavirus infection,mmu05205:Proteoglycans in cancer,mmu05415:Diabetic cardiomyopathy,"
ENSMUST00000088349,"collagen, type IX, alpha 1(Col9a1)",Mus musculus,"mmu04151:PI3K-Akt signaling pathway,mmu04510:Focal adhesion,mmu04512:ECM-receptor interaction,mmu04974:Protein digestion and absorption,mmu05165:Human papillomavirus infection,"
ENSMUST00000030372,"collagen, type IX, alpha 2(Col9a2)",Mus musculus,"mmu04151:PI3K-Akt signaling pathway,mmu04510:Focal adhesion,mmu04512:ECM-receptor interaction,mmu04974:Protein digestion and absorption,mmu05165:Human papillomavirus infection,"
ENSMUST00000103059,"collagen, type IX, alpha 3(Col9a3)",Mus musculus,"mmu04151:PI3K-Akt signaling pathway,mmu04510:Focal adhesion,mmu04512:ECM-receptor interaction,mmu04974:Protein digestion and absorption,mmu05165:Human papillomavirus infection,"
ENSMUST00000070132,"collagen, type VIII, alpha 2(Col8a2)",Mus musculus,"mmu04974:Protein digestion and absorption,"
"ENSMUST00000237490, ENSMUST00000087497","collagen, type XI, alpha 2(Col11a2)",Mus musculus,"mmu04974:Protein digestion and absorption,"
ENSMUST00000105452,"collagen, type XIII, alpha 1(Col13a1)",Mus musculus,"mmu04974:Protein digestion and absorption,"
ENSMUST00000082303,"collagen, type XV, alpha 1(Col15a1)",Mus musculus,"mmu04974:Protein digestion and absorption,"
ENSMUST00000081654,"collagen, type XVIII, alpha 1(Col18a1)",Mus musculus,"mmu04974:Protein digestion and absorption,"
ENSMUST00000102765,"collagen, type XXIII, alpha 1(Col23a1)",Mus musculus,"mmu04974:Protein digestion and absorption,"
ENSMUST00000106162,colony stimulating factor 3 receptor (granulocyte)(Csf3r),Mus musculus,"mmu04060:Cytokine-cytokine receptor interaction,mmu04151:PI3K-Akt signaling pathway,mmu04630:JAK-STAT signaling pathway,mmu04640:Hematopoietic cell lineage,mmu05200:Pathways in cancer,"
ENSMUST00000046285,"complement component 1, q subcomponent, alpha polypeptide(C1qa)",Mus musculus,"mmu04610:Complement and coagulation cascades,mmu04936:Alcoholic liver disease,mmu05020:Prion disease,mmu05133:Pertussis,mmu05142:Chagas disease,mmu05150:Staphylococcus aureus infection,mmu05171:Coronavirus disease - COVID-19,mmu05322:Systemic lupus erythematosus,"
ENSMUST00000086521,contactin 2(Cntn2),Mus musculus,"mmu04514:Cell adhesion molecules,"
ENSMUST00000173108,"coronin, actin binding protein 1A(Coro1a)",Mus musculus,"mmu04145:Phagosome,mmu05152:Tuberculosis,"
ENSMUST00000050372,crumbs family member 2(Crb2),Mus musculus,"mmu04390:Hippo signaling pathway,"
ENSMUST00000163763,crumbs family member 3(Crb3),Mus musculus,"mmu04530:Tight junction,mmu05165:Human papillomavirus infection,"
ENSMUST00000111278,cryptochrome 2 (photolyase-like)(Cry2),Mus musculus,"mmu04710:Circadian rhythm,"
ENSMUST00000195272,cyclic nucleotide gated channel alpha 3(Cnga3),Mus musculus,"mmu04024:cAMP signaling pathway,mmu04740:Olfactory transduction,"
ENSMUST00000108023,cyclin E1(Ccne1),Mus musculus,"mmu04110:Cell cycle,mmu04114:Oocyte meiosis,mmu04115:p53 signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04218:Cellular senescence,mmu04934:Cushing syndrome,mmu05161:Hepatitis B,mmu05162:Measles,mmu05165:Human papillomavirus infection,mmu05166:Human T-cell leukemia virus 1 infection,mmu05169:Epstein-Barr virus infection,mmu05200:Pathways in cancer,mmu05203:Viral carcinogenesis,mmu05206:MicroRNAs in cancer,mmu05215:Prostate cancer,mmu05222:Small cell lung cancer,mmu05226:Gastric cancer,"
ENSMUST00000022030,cyclin H(Ccnh),Mus musculus,"mmu03022:Basal transcription factors,mmu03420:Nucleotide excision repair,mmu04110:Cell cycle,"
ENSMUST00000107131,cyclin dependent kinase inhibitor 2A(Cdkn2a),Mus musculus,"mmu01522:Endocrine resistance,mmu01524:Platinum drug resistance,mmu04110:Cell cycle,mmu04115:p53 signaling pathway,mmu04218:Cellular senescence,mmu04934:Cushing syndrome,mmu05163:Human cytomegalovirus infection,mmu05166:Human T-cell leukemia virus 1 infection,mmu05200:Pathways in cancer,mmu05203:Viral carcinogenesis,mmu05206:MicroRNAs in cancer,mmu05212:Pancreatic cancer,mmu05214:Glioma,mmu05218:Melanoma,mmu05219:Bladder cancer,mmu05220:Chronic myeloid leukemia,mmu05223:Non-small cell lung cancer,mmu05225:Hepatocellular carcinoma,"
ENSMUST00000097981,cyclin dependent kinase inhibitor 2B(Cdkn2b),Mus musculus,"mmu04068:FoxO signaling pathway,mmu04110:Cell cycle,mmu04218:Cellular senescence,mmu04350:TGF-beta signaling pathway,mmu04934:Cushing syndrome,mmu05166:Human T-cell leukemia virus 1 infection,mmu05200:Pathways in cancer,mmu05203:Viral carcinogenesis,mmu05222:Small cell lung cancer,mmu05226:Gastric cancer,"
ENSMUST00000049461,cysteinyl-tRNA synthetase 2 (mitochondrial)(putative)(Cars2),Mus musculus,"mmu00970:Aminoacyl-tRNA biosynthesis,"
ENSMUST00000025946,"cytochrome P450, family 26, subfamily a, polypeptide 1(Cyp26a1)",Mus musculus,"mmu00830:Retinol metabolism,mmu01100:Metabolic pathways,"
ENSMUST00000205228,"cytochrome P450, family 26, subfamily b, polypeptide 1(Cyp26b1)",Mus musculus,"mmu00830:Retinol metabolism,mmu01100:Metabolic pathways,"
ENSMUST00000073391,"cytochrome P450, family 26, subfamily c, polypeptide 1(Cyp26c1)",Mus musculus,"mmu00830:Retinol metabolism,mmu01100:Metabolic pathways,"
ENSMUST00000021684,"cytochrome P450, family 46, subfamily a, polypeptide 1(Cyp46a1)",Mus musculus,"mmu00120:Primary bile acid biosynthesis,"
ENSMUST00000212600,"cytochrome b-245, alpha polypeptide(Cyba)",Mus musculus,"mmu04145:Phagosome,mmu04380:Osteoclast differentiation,mmu04613:Neutrophil extracellular trap formation,mmu04621:NOD-like receptor signaling pathway,mmu04670:Leukocyte transendothelial migration,mmu05020:Prion disease,mmu05140:Leishmaniasis,mmu05208:Chemical carcinogenesis - reactive oxygen species,mmu05415:Diabetic cardiomyopathy,mmu05417:Lipid and atherosclerosis,mmu05418:Fluid shear stress and atherosclerosis,"
ENSMUST00000010020,cytochrome c oxidase subunit 4I2(Cox4i2),Mus musculus,"mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu04260:Cardiac muscle contraction,mmu04714:Thermogenesis,mmu04932:Non-alcoholic fatty liver disease,mmu05010:Alzheimer disease,mmu05012:Parkinson disease,mmu05014:Amyotrophic lateral sclerosis,mmu05016:Huntington disease,mmu05020:Prion disease,mmu05022:Pathways of neurodegeneration - multiple diseases,mmu05208:Chemical carcinogenesis - reactive oxygen species,mmu05415:Diabetic cardiomyopathy,"
ENSMUST00000000090,cytochrome c oxidase subunit 5A(Cox5a),Mus musculus,"mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu04260:Cardiac muscle contraction,mmu04714:Thermogenesis,mmu04932:Non-alcoholic fatty liver disease,mmu05010:Alzheimer disease,mmu05012:Parkinson disease,mmu05014:Amyotrophic lateral sclerosis,mmu05016:Huntington disease,mmu05020:Prion disease,mmu05022:Pathways of neurodegeneration - multiple diseases,mmu05208:Chemical carcinogenesis - reactive oxygen species,mmu05415:Diabetic cardiomyopathy,"
ENSMUST00000116456,cytohesin 3(Cyth3),Mus musculus,"mmu04072:Phospholipase D signaling pathway,mmu04144:Endocytosis,mmu05132:Salmonella infection,"
ENSMUST00000231180,cytohesin 4(Cyth4),Mus musculus,"mmu04072:Phospholipase D signaling pathway,mmu04144:Endocytosis,mmu05132:Salmonella infection,"
ENSMUST00000032629,cytoplasmic FMR1 interacting protein 1(Cyfip1),Mus musculus,"mmu04810:Regulation of actin cytoskeleton,mmu05132:Salmonella infection,"
ENSMUST00000053871,cytoskeleton-associated protein 4(Ckap4),Mus musculus,"mmu04141:Protein processing in endoplasmic reticulum,"
ENSMUST00000020699,cytosolic arginine sensor for mTORC1 subunit 1(Castor1),Mus musculus,"mmu04150:mTOR signaling pathway,"
ENSMUST00000174379,dCMP deaminase(Dctd),Mus musculus,"mmu00240:Pyrimidine metabolism,mmu01100:Metabolic pathways,mmu01232:Nucleotide metabolism,"
ENSMUST00000102517,delta like canonical Notch ligand 4(Dll4),Mus musculus,"mmu01522:Endocrine resistance,mmu04330:Notch signaling pathway,mmu04658:Th1 and Th2 cell differentiation,mmu05200:Pathways in cancer,mmu05207:Chemical carcinogenesis - receptor activation,mmu05224:Breast cancer,"
ENSMUST00000031607,"deltex 1, E3 ubiquitin ligase(Dtx1)",Mus musculus,"mmu04330:Notch signaling pathway,"
ENSMUST00000145292,deoxyribonuclease II alpha(Dnase2a),Mus musculus,"mmu04142:Lysosome,"
ENSMUST00000203693,deoxyribose-phosphate aldolase (putative)(Dera),Mus musculus,"mmu00030:Pentose phosphate pathway,mmu01100:Metabolic pathways,"
"ENSMUST00000229775, ENSMUST00000023737",desert hedgehog(Dhh),Mus musculus,"mmu04340:Hedgehog signaling pathway,"
ENSMUST00000027409,desmin(Des),Mus musculus,"mmu05410:Hypertrophic cardiomyopathy,mmu05412:Arrhythmogenic right ventricular cardiomyopathy,mmu05414:Dilated cardiomyopathy,"
ENSMUST00000239257,diacylglycerol kinase zeta(Dgkz),Mus musculus,"mmu00561:Glycerolipid metabolism,mmu00564:Glycerophospholipid metabolism,mmu01100:Metabolic pathways,mmu04070:Phosphatidylinositol signaling system,mmu04072:Phospholipase D signaling pathway,mmu05231:Choline metabolism in cancer,"
ENSMUST00000074729,"diacylglycerol kinase, eta(Dgkh)",Mus musculus,"mmu00561:Glycerolipid metabolism,mmu00564:Glycerophospholipid metabolism,mmu01100:Metabolic pathways,mmu04070:Phosphatidylinositol signaling system,mmu04072:Phospholipase D signaling pathway,mmu05231:Choline metabolism in cancer,"
ENSMUST00000042075,"diacylglycerol kinase, iota(Dgki)",Mus musculus,"mmu00561:Glycerolipid metabolism,mmu00564:Glycerophospholipid metabolism,mmu01100:Metabolic pathways,mmu04070:Phosphatidylinositol signaling system,mmu04072:Phospholipase D signaling pathway,mmu05231:Choline metabolism in cancer,"
ENSMUST00000135741,disabled 2 interacting protein(Dab2ip),Mus musculus,"mmu04210:Apoptosis,mmu04668:TNF signaling pathway,"
ENSMUST00000115205,discs large MAGUK scaffold protein 1(Dlg1),Mus musculus,"mmu04390:Hippo signaling pathway,mmu04530:Tight junction,mmu04660:T cell receptor signaling pathway,mmu05165:Human papillomavirus infection,mmu05166:Human T-cell leukemia virus 1 infection,mmu05203:Viral carcinogenesis,"
ENSMUST00000224595,dishevelled associated activator of morphogenesis 2(Daam2),Mus musculus,"mmu04310:Wnt signaling pathway,"
ENSMUST00000075764,dopamine receptor D2(Drd2),Mus musculus,"mmu04015:Rap1 signaling pathway,mmu04024:cAMP signaling pathway,mmu04080:Neuroactive ligand-receptor interaction,mmu04540:Gap junction,mmu04728:Dopaminergic synapse,mmu05012:Parkinson disease,mmu05030:Cocaine addiction,mmu05034:Alcoholism,"
"ENSMUST00000177801, ENSMUST00000177959",double PHD fingers 3(Dpf3),Mus musculus,"mmu04714:Thermogenesis,mmu05225:Hepatocellular carcinoma,"
ENSMUST00000033930,dual specificity phosphatase 4(Dusp4),Mus musculus,"mmu04010:MAPK signaling pathway,"
ENSMUST00000172306,dual specificity phosphatase 7(Dusp7),Mus musculus,"mmu04010:MAPK signaling pathway,"
"ENSMUST00000077407, ENSMUST00000113907",dynactin 1(Dctn1),Mus musculus,"mmu04962:Vasopressin-regulated water reabsorption,mmu05014:Amyotrophic lateral sclerosis,mmu05016:Huntington disease,mmu05022:Pathways of neurodegeneration - multiple diseases,mmu05132:Salmonella infection,"
ENSMUST00000025101,dynein cytoplasmic 2 light intermediate chain 1(Dync2li1),Mus musculus,"mmu04962:Vasopressin-regulated water reabsorption,mmu05132:Salmonella infection,"
ENSMUST00000213007,dynein light chain roadblock-type 2(Dynlrb2),Mus musculus,"mmu05132:Salmonella infection,"
ENSMUST00000235390,"dynein, axonemal, heavy chain 8(Dnah8)",Mus musculus,"mmu05014:Amyotrophic lateral sclerosis,mmu05016:Huntington disease,mmu05022:Pathways of neurodegeneration - multiple diseases,"
ENSMUST00000127820,early growth response 2(Egr2),Mus musculus,"mmu04625:C-type lectin receptor signaling pathway,mmu05161:Hepatitis B,mmu05166:Human T-cell leukemia virus 1 infection,mmu05203:Viral carcinogenesis,"
ENSMUST00000108382,egl-9 family hypoxia-inducible factor 2(Egln2),Mus musculus,"mmu04066:HIF-1 signaling pathway,mmu05200:Pathways in cancer,mmu05211:Renal cell carcinoma,"
ENSMUST00000002011,endothelial cell-specific adhesion molecule(Esam),Mus musculus,"mmu04514:Cell adhesion molecules,mmu04670:Leukocyte transendothelial migration,"
ENSMUST00000030384,endothelin 2(Edn2),Mus musculus,"mmu04024:cAMP signaling pathway,mmu04080:Neuroactive ligand-receptor interaction,mmu04270:Vascular smooth muscle contraction,mmu04924:Renin secretion,"
"ENSMUST00000103091, ENSMUST00000071699",engulfment and cell motility 2(Elmo2),Mus musculus,"mmu05100:Bacterial invasion of epithelial cells,mmu05132:Salmonella infection,mmu05135:Yersinia infection,"
"ENSMUST00000200910, ENSMUST00000054280",enolase 4(Eno4),Mus musculus,"mmu00010:Glycolysis / Gluconeogenesis,mmu01100:Metabolic pathways,mmu01200:Carbon metabolism,mmu01230:Biosynthesis of amino acids,mmu03018:RNA degradation,mmu04066:HIF-1 signaling pathway,"
ENSMUST00000066264,"enoyl coenzyme A hydratase 1, peroxisomal(Ech1)",Mus musculus,"mmu04146:Peroxisome,"
ENSMUST00000003154,ephrin A2(Efna2),Mus musculus,"mmu04010:MAPK signaling pathway,mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04360:Axon guidance,mmu05206:MicroRNAs in cancer,"
ENSMUST00000078839,ephrin A5(Efna5),Mus musculus,"mmu04010:MAPK signaling pathway,mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04360:Axon guidance,mmu05206:MicroRNAs in cancer,"
ENSMUST00000052839,ephrin B1(Efnb1),Mus musculus,"mmu04360:Axon guidance,"
ENSMUST00000004036,ephrin B3(Efnb3),Mus musculus,"mmu04360:Axon guidance,"
ENSMUST00000224698,"epoxide hydrolase 2, cytoplasmic(Ephx2)",Mus musculus,"mmu00590:Arachidonic acid metabolism,mmu01100:Metabolic pathways,mmu04146:Peroxisome,mmu05207:Chemical carcinogenesis - receptor activation,mmu05208:Chemical carcinogenesis - reactive oxygen species,"
"ENSMUST00000116402, ENSMUST00000021680","estrogen related receptor, beta(Esrrb)",Mus musculus,"mmu04550:Signaling pathways regulating pluripotency of stem cells,"
ENSMUST00000107176,ets variant 4(Etv4),Mus musculus,"mmu05202:Transcriptional misregulation in cancer,"
ENSMUST00000111963,ets variant 6(Etv6),Mus musculus,"mmu05202:Transcriptional misregulation in cancer,"
ENSMUST00000022925,"eukaryotic translation initiation factor 3, subunit H(Eif3h)",Mus musculus,"mmu05162:Measles,"
ENSMUST00000026667,eukaryotic translation initiation factor 4A3(Eif4a3),Mus musculus,"mmu03013:Nucleocytoplasmic transport,mmu03015:mRNA surveillance pathway,mmu03040:Spliceosome,"
ENSMUST00000033880,eukaryotic translation initiation factor 4E binding protein 1(Eif4ebp1),Mus musculus,"mmu01521:EGFR tyrosine kinase inhibitor resistance,mmu04012:ErbB signaling pathway,mmu04066:HIF-1 signaling pathway,mmu04150:mTOR signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04152:AMPK signaling pathway,mmu04211:Longevity regulating pathway,mmu04218:Cellular senescence,mmu04910:Insulin signaling pathway,mmu05163:Human cytomegalovirus infection,mmu05165:Human papillomavirus infection,mmu05168:Herpes simplex virus 1 infection,mmu05207:Chemical carcinogenesis - receptor activation,mmu05221:Acute myeloid leukemia,mmu05231:Choline metabolism in cancer,"
ENSMUST00000210390,exosome component 6(Exosc6),Mus musculus,"mmu03018:RNA degradation,"
ENSMUST00000077273,exostosin glycosyltransferase 1(Ext1),Mus musculus,"mmu00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,mmu01100:Metabolic pathways,"
ENSMUST00000064234,ezrin(Ezr),Mus musculus,"mmu04530:Tight junction,mmu04670:Leukocyte transendothelial migration,mmu04810:Regulation of actin cytoskeleton,mmu04971:Gastric acid secretion,mmu05205:Proteoglycans in cancer,mmu05206:MicroRNAs in cancer,"
ENSMUST00000031565,fascin actin-bundling protein 1(Fscn1),Mus musculus,"mmu05206:MicroRNAs in cancer,"
"ENSMUST00000080932, ENSMUST00000206728",feline sarcoma oncogene(Fes),Mus musculus,"mmu04360:Axon guidance,"
ENSMUST00000237358,ferrochelatase(Fech),Mus musculus,"mmu00860:Porphyrin metabolism,mmu01100:Metabolic pathways,mmu01240:Biosynthesis of cofactors,"
"ENSMUST00000237356, ENSMUST00000040647",fibroblast growth factor 1(Fgf1),Mus musculus,"mmu04010:MAPK signaling pathway,mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04020:Calcium signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04390:Hippo signaling pathway,mmu04810:Regulation of actin cytoskeleton,mmu05200:Pathways in cancer,mmu05218:Melanoma,mmu05224:Breast cancer,mmu05226:Gastric cancer,"
ENSMUST00000109363,fibroblast growth factor 18(Fgf18),Mus musculus,"mmu04010:MAPK signaling pathway,mmu04014:Ras signaling pathway,mmu04015:Rap1 signaling pathway,mmu04020:Calcium signaling pathway,mmu04151:PI3K-Akt signaling pathway,mmu04810:Regulation of actin cytoskeleton,mmu05200:Pathways in cancer,mmu05207:Chemical carcinogenesis - receptor activation,mmu05218:Melanoma,mmu05224:Breast cancer,mmu05226:Gastric cancer,"
